seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,522,3.641,0,0.000,0.000,0.000,522.000,0.000,0.000,1,522.000,0.000,0.000,0.000,0.000000,0.000,522.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,25,527,3.555,0,488.432,0.000,0.000,38.568,5.000,0.000,1,524.551,5.000,0.000,0.000,0.510204,49.000,524.551,5.000,0.000,0.000,0.510204,49.000,24.000
2,45,510,3.625,0,488.432,0.000,0.000,21.568,-17.000,0.000,1,519.376,-14.551,0.000,0.000,0.355616,37.245,519.376,-14.551,0.000,0.000,0.355616,37.245,24.000
3,65,505,3.445,0,488.603,0.000,0.000,16.397,-5.000,0.000,1,515.289,-14.376,0.000,0.000,0.284325,33.535,515.289,-14.376,0.000,0.000,0.284325,33.535,24.000
4,85,518,3.664,0,488.603,0.000,0.000,29.397,13.000,0.000,1,515.955,2.711,0.000,0.000,0.245848,31.824,515.955,2.711,0.000,0.000,0.245848,31.824,24.000
5,105,510,3.555,0,488.603,0.000,0.000,21.397,-8.000,0.000,1,514.625,-5.955,0.000,0.000,0.223310,30.900,514.625,-5.955,0.000,0.000,0.223310,30.900,24.000
6,127,517,3.516,0,488.432,0.000,0.000,28.568,8.000,0.000,1,514.160,3.553,0.000,0.000,0.200728,30.027,514.160,3.553,0.000,0.000,0.200728,30.027,24.000
7,147,514,3.469,0,488.432,0.000,0.000,25.568,-3.000,0.000,1,514.129,-0.160,0.000,0.000,0.195103,29.817,514.129,-0.160,0.000,0.000,0.195103,29.817,24.000
8,167,514,3.484,0,488.432,0.000,0.000,25.568,0.000,0.000,1,514.104,-0.129,0.000,0.000,0.191442,29.682,514.104,-0.129,0.000,0.000,0.191442,29.682,24.000
9,185,513,3.398,0,488.432,0.000,0.000,24.568,-1.000,0.000,1,513.896,-1.104,0.000,0.000,0.189041,29.595,513.896,-1.104,0.000,0.000,0.189041,29.595,24.000
10,205,516,3.492,0,488.432,0.000,0.000,27.568,3.000,0.000,1,514.290,2.104,0.000,0.000,0.187460,29.537,514.290,2.104,0.000,0.000,0.187460,29.537,24.000
11,225,507,3.484,0,488.432,0.000,0.000,18.568,-9.000,0.000,1,512.931,-7.290,0.000,0.000,0.186414,29.499,512.931,-7.290,0.000,0.000,0.186414,29.499,24.000
12,245,498,3.602,0,488.432,0.000,0.000,9.568,-9.000,0.000,1,510.158,-14.931,0.000,0.000,0.185721,29.474,510.158,-14.931,0.000,0.000,0.185721,29.474,24.000
13,265,515,3.562,0,488.432,0.000,0.000,26.568,17.000,0.000,1,511.055,4.842,0.000,0.000,0.185262,29.457,511.055,4.842,0.000,0.000,0.185262,29.457,24.000
14,285,512,3.531,0,488.432,0.000,0.000,23.568,-3.000,0.000,1,511.230,0.945,0.000,0.000,0.184956,29.446,511.230,0.945,0.000,0.000,0.184956,29.446,24.000
15,305,502,3.539,0,488.432,0.000,0.000,13.568,-10.000,0.000,1,509.525,-9.230,0.000,0.000,0.184754,29.439,509.525,-9.230,0.000,0.000,0.184754,29.439,24.000
19,385,513,3.602,0,488.603,0.000,0.000,24.397,-6.000,0.000,1,510.989,2.465,46.418,-2.563,0.184404,29.426,510.033,3.335,46.891,-2.519,0.110469,53.238,47.357
20,405,511,3.586,0,488.603,0.000,0.000,22.397,-2.000,0.000,1,510.991,0.011,39.033,-1.835,0.184386,29.426,510.174,0.967,39.658,-1.743,0.145942,42.698,36.466
21,425,513,3.516,0,488.432,0.000,0.000,24.568,2.000,0.000,1,511.362,2.009,31.235,-1.015,0.184374,29.425,510.720,2.826,31.983,-0.883,0.192962,32.763,26.441
22,445,516,3.656,0,488.432,0.000,0.000,27.568,3.000,0.000,1,512.217,4.638,32.130,-0.919,0.184367,29.425,511.673,5.280,33.220,-0.755,0.180591,33.790,27.688
23,465,514,3.570,0,488.775,0.000,0.000,25.225,-2.000,0.000,1,512.545,1.783,31.077,-0.532,0.184361,29.425,512.106,2.327,32.171,-0.341,0.185837,32.287,26.287
24,485,521,3.359,0,488.775,0.000,0.000,32.225,7.000,0.000,1,514.104,8.455,33.323,0.172,0.184358,29.425,513.616,8.894,34.512,0.385,0.169793,34.660,28.775
25,505,519,3.422,0,488.775,0.000,0.000,30.225,-2.000,0.000,1,515.007,4.896,33.862,0.239,0.184356,29.425,514.509,5.384,35.251,0.477,0.165898,35.479,29.593
26,525,509,3.461,0,488.603,0.000,0.000,20.397,-10.000,0.000,1,513.899,-6.007,35.719,-0.053,0.184354,29.425,513.629,-5.509,36.951,0.209,0.159736,36.995,31.085
27,547,507,3.461,0,488.603,0.000,0.000,18.397,-7.000,0.000,1,512.643,-6.918,37.943,-0.333,0.184353,29.424,512.664,-6.689,39.175,-0.045,0.153245,39.177,33.173
28,567,505,3.578,0,488.603,0.000,0.000,16.397,-2.000,0.000,1,511.234,-7.643,40.081,-0.820,0.184352,29.424,511.551,-7.664,41.608,-0.533,0.145221,41.892,35.808
29,587,511,3.555,0,488.603,0.000,0.000,22.397,6.000,0.000,1,511.191,-0.234,37.880,-0.467,0.184352,29.424,511.464,-0.551,39.212,-0.196,0.157966,39.250,33.050
30,605,508,3.461,0,488.603,0.000,0.000,19.397,-3.000,0.000,1,510.602,-3.191,27.446,0.120,0.184352,29.424,510.713,-3.464,28.561,0.377,0.216727,28.703,22.482
31,625,505,3.508,0,488.432,0.000,0.000,16.568,-3.000,0.000,1,509.570,-5.602,27.696,-0.402,0.184351,29.424,509.563,-5.713,29.140,-0.151,0.201370,29.163,23.290
32,645,513,3.523,0,488.432,0.000,0.000,24.568,8.000,0.000,1,510.202,3.430,28.324,-0.278,0.184351,29.424,510.221,3.437,29.708,-0.026,0.191524,29.709,24.019
33,665,514,3.516,0,488.603,0.000,0.000,25.397,1.000,0.000,1,510.902,3.798,24.724,0.373,0.184351,29.424,511.030,3.779,25.774,0.624,0.214047,26.164,20.563
34,685,509,3.547,0,488.603,0.000,0.000,20.397,-5.000,0.000,1,510.551,-1.902,24.429,0.105,0.184351,29.424,510.604,-2.030,25.644,0.349,0.209640,25.766,20.364
35,705,520,3.438,0,488.603,0.000,0.000,31.397,11.000,0.000,1,512.293,9.449,26.871,0.835,0.184351,29.424,512.321,9.396,27.685,1.077,0.182671,28.845,23.576
36,725,513,3.523,0,488.603,0.000,0.000,24.397,-7.000,0.000,1,512.424,0.707,26.015,1.031,0.184351,29.424,512.448,0.679,26.734,1.272,0.187170,28.352,23.045
37,747,515,3.500,0,488.603,0.000,0.000,26.397,6.000,0.000,1,512.384,3.208,22.345,0.378,0.184351,29.424,512.393,3.330,23.221,0.580,0.217130,23.558,18.442
38,767,510,3.680,0,488.603,0.000,0.000,21.397,-5.000,0.000,1,511.944,-2.384,22.705,0.258,0.184351,29.424,511.890,-2.393,23.627,0.412,0.210295,23.797,18.793
39,787,513,3.453,0,488.603,0.000,0.000,24.397,3.000,0.000,1,512.139,1.056,22.581,0.211,0.184351,29.424,512.124,1.110,23.353,0.326,0.211087,23.460,18.508
40,805,518,3.578,0,488.603,0.000,0.000,29.397,5.000,0.000,1,513.219,5.861,23.194,0.272,0.184351,29.424,513.336,5.876,23.665,0.356,0.206237,23.792,18.885
41,825,527,3.453,0,488.260,0.000,0.000,38.740,9.000,0.000,1,515.760,13.781,31.844,0.872,0.184351,29.424,515.372,13.664,32.004,0.923,0.148976,32.856,27.961
42,845,510,3.656,0,488.260,0.000,0.000,21.740,-17.000,0.000,1,514.698,-5.760,30.663,0.161,0.184351,29.424,514.457,-5.372,30.299,0.210,0.170237,30.343,25.178
43,865,522,3.438,0,488.260,0.000,0.000,33.740,12.000,0.000,1,516.044,7.302,32.077,0.281,0.184351,29.424,515.714,7.543,31.638,0.318,0.166555,31.738,26.452
44,885,511,3.641,0,488.260,0.000,0.000,22.740,-11.000,0.000,1,515.114,-5.044,31.516,0.330,0.184351,29.424,514.900,-4.714,31.204,0.357,0.172532,31.332,25.926
45,905,518,3.531,0,488.260,0.000,0.000,29.740,7.000,0.000,1,515.646,2.886,31.820,0.469,0.184351,29.424,515.434,3.100,31.562,0.494,0.172080,31.805,26.332
46,925,510,3.625,0,488.432,0.000,0.000,21.568,-8.000,0.000,1,514.605,-5.646,30.958,0.532,0.184351,29.424,514.466,-5.434,30.735,0.557,0.178172,31.045,25.513
47,945,503,3.570,0,488.432,0.000,0.000,14.568,-7.000,0.000,1,512.466,-11.605,34.943,0.334,0.184351,29.424,512.632,-11.466,34.546,0.367,0.159909,34.681,29.135
48,967,513,3.523,0,488.432,0.000,0.000,24.568,-6.000,0.000,1,513.547,-0.671,36.063,0.799,0.184351,29.424,513.516,-0.614,35.381,0.855,0.160229,36.112,30.326
49,987,508,3.539,0,488.432,0.000,0.000,19.568,-5.000,0.000,1,512.524,-5.547,36.027,0.801,0.184351,29.424,512.618,-5.516,35.253,0.865,0.162747,36.001,30.142
50,1007,512,3.578,0,488.432,0.000,0.000,23.568,4.000,0.000,1,512.428,-0.524,35.730,0.604,0.184351,29.424,512.515,-0.618,34.991,0.662,0.166684,35.430,29.524
51,1025,518,3.453,0,488.432,0.000,0.000,29.568,6.000,0.000,1,513.455,5.572,36.447,0.692,0.184351,29.424,513.412,5.485,35.661,0.747,0.163479,36.220,30.299
52,1045,513,3.633,0,488.432,0.000,0.000,24.568,-5.000,0.000,1,513.371,-0.455,36.171,0.765,0.184351,29.424,513.344,-0.412,35.336,0.828,0.165264,36.022,30.069
54,1085,508,3.586,0,488.432,0.000,0.000,19.568,-6.000,0.000,1,512.476,-5.487,33.792,0.014,0.184351,29.424,512.502,-5.468,33.094,0.084,0.176511,33.101,27.259
55,1105,520,3.547,0,488.432,0.000,0.000,31.568,12.000,0.000,1,513.863,7.524,35.722,0.561,0.184351,29.424,513.736,7.498,34.919,0.631,0.164548,35.318,29.506
56,1125,509,3.594,0,488.432,0.000,0.000,20.568,-11.000,0.000,1,512.966,-4.863,36.680,0.158,0.184351,29.424,512.963,-4.736,35.833,0.228,0.163166,35.885,30.030
57,1145,509,3.570,0,488.432,0.000,0.000,20.568,0.000,0.000,1,512.235,-3.966,37.201,0.079,0.184351,29.424,512.321,-3.963,36.362,0.149,0.162155,36.384,30.484
58,1167,510,3.516,0,488.603,0.000,0.000,21.397,4.000,0.000,1,510.885,-1.086,37.036,-0.633,0.184351,29.424,511.120,-1.340,36.344,-0.583,0.164145,36.684,30.662
59,1187,507,3.469,0,488.603,0.000,0.000,18.397,-3.000,0.000,1,510.169,-3.885,26.397,-1.516,0.184351,29.424,510.239,-4.120,26.030,-1.472,0.213958,28.197,22.164
60,1207,518,3.508,0,488.603,0.000,0.000,29.397,11.000,0.000,1,511.613,7.831,29.403,-0.837,0.184351,29.424,511.736,7.761,29.101,-0.816,0.192909,29.766,24.024
61,1225,511,3.516,0,488.432,0.000,0.000,22.568,-7.000,0.000,1,511.500,-0.613,25.937,-1.233,0.184351,29.424,511.582,-0.736,25.437,-1.229,0.209081,26.949,21.314
62,1245,512,3.578,0,488.432,0.000,0.000,23.568,1.000,0.000,1,511.592,0.500,25.284,-0.955,0.184351,29.424,511.670,0.418,24.900,-0.973,0.211107,25.847,20.390
63,1265,508,3.617,0,488.432,0.000,0.000,19.568,-4.000,0.000,1,510.930,-3.592,24.789,-1.279,0.184351,29.424,510.923,-3.670,24.320,-1.311,0.203708,26.040,20.735
64,1285,506,3.656,0,488.432,0.000,0.000,17.568,-2.000,0.000,1,510.021,-4.930,24.501,-1.243,0.184351,29.424,509.925,-4.923,24.122,-1.286,0.202673,25.775,20.551
65,1305,513,3.531,0,488.432,0.000,0.000,24.568,7.000,0.000,1,510.570,2.979,19.492,-0.514,0.184351,29.424,510.732,3.075,19.363,-0.559,0.262525,19.675,14.510
66,1325,501,3.523,0,488.603,0.000,0.000,12.397,-12.000,0.000,1,508.806,-9.570,20.460,-1.319,0.184351,29.424,508.641,-9.732,20.523,-1.364,0.214856,22.383,17.574
67,1345,511,3.555,0,488.603,0.000,0.000,22.397,10.000,0.000,1,509.210,2.194,21.036,-1.176,0.184351,29.424,509.139,2.359,21.166,-1.215,0.210925,22.643,17.867
68,1365,512,3.492,0,488.260,0.000,0.000,23.740,1.000,0.000,1,509.725,2.790,20.693,-0.759,0.184351,29.424,509.772,2.861,20.897,-0.796,0.221475,21.531,16.762
69,1387,516,3.516,0,488.260,0.000,0.000,27.740,6.000,0.000,1,510.923,6.225,21.173,-0.687,0.184351,29.424,511.141,6.178,21.401,-0.719,0.213530,21.918,17.238
70,1407,519,3.508,0,488.260,0.000,0.000,30.740,3.000,0.000,1,512.412,8.077,24.828,-0.260,0.184351,29.424,512.613,7.859,24.904,-0.306,0.187251,24.998,20.317
72,1445,514,3.539,0,488.432,0.000,0.000,25.568,12.000,0.000,1,511.139,3.507,29.275,-0.362,0.184351,29.424,511.468,3.053,29.383,-0.443,0.170736,29.579,24.529
73,1465,500,3.633,0,488.603,0.000,0.000,11.397,-14.000,0.000,1,509.086,-11.139,31.101,-1.296,0.184351,29.424,509.684,-11.468,31.408,-1.392,0.155587,33.345,28.157
74,1485,525,3.492,0,488.603,0.000,0.000,36.397,25.000,0.000,1,512.019,15.914,44.195,-0.257,0.184351,29.424,511.559,15.316,43.801,-0.389,0.122424,43.952,38.571
75,1505,502,3.531,0,488.603,0.000,0.000,13.397,-23.000,0.000,1,510.172,-10.019,48.181,-0.559,0.184351,29.424,510.413,-9.559,47.288,-0.669,0.119870,47.736,42.013
76,1525,516,3.609,0,488.775,0.000,0.000,27.225,14.000,0.000,1,511.247,5.828,48.246,0.044,0.184351,29.424,511.126,5.587,47.293,-0.073,0.127618,47.299,41.262
77,1545,514,3.555,0,488.775,0.000,0.000,25.225,-2.000,0.000,1,511.754,2.753,48.512,0.236,0.184351,29.424,511.504,2.874,47.603,0.137,0.131575,47.622,41.356
78,1565,521,3.586,0,488.603,0.000,0.000,32.397,7.000,0.000,1,513.459,9.246,51.291,0.892,0.184351,29.424,512.697,9.496,50.612,0.818,0.125609,51.281,44.840
79,1587,510,3.508,0,488.603,0.000,0.000,21.397,4.000,0.000,1,511.700,-2.084,51.998,0.054,0.184351,29.424,511.575,-1.818,50.648,0.041,0.133494,50.650,43.889
80,1607,510,3.602,0,488.603,0.000,0.000,21.397,0.000,0.000,1,511.386,-1.700,52.130,-0.056,0.184351,29.424,511.362,-1.575,50.762,-0.059,0.135109,50.765,43.907
