seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,510,3.523,0,0.0,0.0,0.0,510.0,1.0,0.0,1,510.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,24.0
2,45,512,3.57,0,488.432,0.0,0.0,23.568,1.0,0.0,1,512.355,-0.551,0.0,0.0,0.355616,37.245,512.355,-0.551,0.0,0.0,0.355616,37.245,24.0
3,65,513,3.625,0,488.432,0.0,0.0,24.568,1.0,0.0,1,512.538,0.645,0.0,0.0,0.284325,33.535,512.538,0.645,0.0,0.0,0.284325,33.535,24.0
4,85,515,3.625,0,488.432,0.0,0.0,26.568,1.0,0.0,1,513.144,2.462,0.0,0.0,0.245848,31.824,513.144,2.462,0.0,0.0,0.245848,31.824,24.0
5,105,516,3.562,0,488.432,0.0,0.0,27.568,1.0,0.0,1,513.781,2.856,0.0,0.0,0.22331,30.9,513.781,2.856,0.0,0.0,0.22331,30.9,24.0
6,127,510,3.523,0,492.891,0.0,0.0,17.109,1.0,0.0,1,512.724,-3.408,0.0,0.0,0.200728,30.027,512.724,-3.408,0.0,0.0,0.200728,30.027,24.0
7,147,508,3.539,0,492.891,0.0,0.0,15.109,1.0,0.0,1,511.802,-4.724,0.0,0.0,0.195103,29.817,511.802,-4.724,0.0,0.0,0.195103,29.817,24.0
8,167,515,3.516,0,492.548,0.0,0.0,22.452,1.0,0.0,1,512.415,3.198,0.0,0.0,0.191442,29.682,512.415,3.198,0.0,0.0,0.191442,29.682,24.0
9,185,515,3.609,0,492.548,0.0,0.0,22.452,1.0,0.0,1,512.903,2.585,0.0,0.0,0.189041,29.595,512.903,2.585,0.0,0.0,0.189041,29.595,24.0
12,245,507,3.531,0,492.719,0.0,0.0,14.281,1.0,0.0,1,508.908,-2.343,0.0,0.0,0.185721,29.474,508.908,-2.343,0.0,0.0,0.185721,29.474,24.0
13,265,509,3.438,0,492.719,0.0,0.0,16.281,1.0,0.0,1,508.925,0.092,0.0,0.0,0.185262,29.457,508.925,0.092,0.0,0.0,0.185262,29.457,24.0
14,285,503,3.578,0,492.719,0.0,0.0,10.281,1.0,0.0,1,507.829,-5.925,0.0,0.0,0.184956,29.446,507.829,-5.925,0.0,0.0,0.184956,29.446,24.0
15,305,515,3.578,0,492.719,0.0,0.0,22.281,1.0,0.0,1,509.154,7.171,0.0,0.0,0.184754,29.439,509.154,7.171,0.0,0.0,0.184754,29.439,24.0
16,327,506,3.586,0,492.719,0.0,0.0,13.281,1.0,0.0,1,509.302,-4.049,0.0,0.0,0.184529,29.431,509.302,-4.049,0.0,0.0,0.184529,29.431,24.0
17,347,506,3.5,0,492.719,0.0,0.0,13.281,1.0,0.0,1,508.693,-3.302,0.0,0.0,0.18447,29.429,508.693,-3.302,0.0,0.0,0.18447,29.429,24.0
18,367,509,3.586,0,492.719,0.0,0.0,16.281,1.0,0.0,1,508.749,0.307,23.474,-0.8,0.18443,29.427,508.762,0.307,23.474,-0.8,0.225074,24.113,18.686
19,385,509,3.656,0,492.719,0.0,0.0,16.281,1.0,0.0,1,508.796,0.251,21.79,-1.037,0.184404,29.426,508.816,0.238,21.789,-1.038,0.227661,22.866,17.66
20,405,510,3.625,0,492.719,0.0,0.0,17.281,1.0,0.0,1,509.018,1.204,22.022,-0.95,0.184386,29.426,509.075,1.184,22.016,-0.951,0.219038,22.921,17.9
21,425,507,3.578,0,492.548,0.0,0.0,14.452,1.0,0.0,1,508.646,-2.018,21.934,-1.083,0.184374,29.425,508.634,-2.075,21.934,-1.087,0.212882,23.116,18.195
22,445,511,3.445,0,492.548,0.0,0.0,18.452,1.0,0.0,1,509.08,2.354,21.897,-1.088,0.184367,29.425,509.133,2.366,21.9,-1.092,0.211033,23.093,18.219
23,465,507,3.586,0,492.548,0.0,0.0,14.452,1.0,0.0,1,508.696,-2.08,21.107,-1.335,0.184361,29.425,508.682,-2.133,21.113,-1.341,0.211455,22.912,18.067
24,485,517,3.484,0,492.548,0.0,0.0,24.452,1.0,0.0,1,510.227,8.304,25.488,-0.831,0.184358,29.425,510.212,8.318,25.513,-0.836,0.183894,26.213,21.393
25,505,519,3.586,0,492.548,0.0,0.0,26.452,1.0,0.0,1,511.844,8.773,29.396,-0.222,0.184356,29.425,511.682,8.788,29.443,-0.227,0.167287,29.494,24.56
26,525,506,3.617,0,488.26,0.0,0.0,17.74,1.0,0.0,1,510.767,-5.844,29.96,-0.278,0.184354,29.425,510.714,-5.682,29.917,-0.274,0.17033,29.992,24.884
27,547,507,3.578,0,488.26,0.0,0.0,18.74,1.0,0.0,1,510.709,-4.547,30.783,-0.582,0.184353,29.424,510.688,-4.453,30.729,-0.572,0.171807,31.057,25.721
28,567,513,3.5,0,492.548,0.0,0.0,20.452,1.0,0.0,1,511.131,2.291,30.548,-0.273,0.184352,29.424,511.098,2.312,30.494,-0.261,0.177312,30.562,25.143
29,587,498,3.578,0,492.548,0.0,0.0,5.452,1.0,0.0,1,508.711,-13.131,27.706,-0.171,0.184352,29.424,508.51,-13.098,27.606,-0.157,0.197541,27.631,22.172
30,605,518,3.43,0,492.548,0.0,0.0,25.452,1.0,0.0,1,510.423,9.289,31.606,0.411,0.184352,29.424,510.113,9.49,31.67,0.434,0.168869,31.859,26.479
31,625,513,3.602,0,492.719,0.0,0.0,20.281,1.0,0.0,1,510.898,2.577,31.82,0.535,0.184351,29.424,510.602,2.887,31.946,0.574,0.169525,32.275,26.804
32,645,516,3.422,0,492.719,0.0,0.0,23.281,1.0,0.0,1,511.839,5.102,30.472,1.087,0.184351,29.424,511.538,5.398,30.677,1.14,0.173374,31.977,26.433
33,665,504,3.531,0,492.719,0.0,0.0,11.281,1.0,0.0,1,510.394,-7.839,32.041,0.336,0.184351,29.424,510.233,-7.538,32.083,0.405,0.173126,32.247,26.664
34,685,518,3.445,0,492.719,0.0,0.0,25.281,1.0,0.0,1,511.796,7.606,33.648,0.474,0.184351,29.424,511.513,7.767,33.786,0.551,0.164752,34.089,28.473
35,705,509,3.57,0,492.719,0.0,0.0,16.281,1.0,0.0,1,511.28,-2.796,33.156,0.537,0.184351,29.424,511.087,-2.513,33.191,0.628,0.169449,33.585,27.894
36,725,511,3.531,0,492.719,0.0,0.0,18.281,1.0,0.0,1,511.229,-0.28,32.43,0.688,0.184351,29.424,511.072,-0.087,32.419,0.788,0.173322,33.04,27.314
37,747,506,3.57,0,492.719,0.0,0.0,13.281,1.0,0.0,1,510.682,-5.74,34.665,0.512,0.184351,29.424,510.658,-5.574,34.619,0.629,0.164261,35.015,29.263
38,767,519,3.656,0,492.548,0.0,0.0,26.452,1.0,0.0,1,512.215,8.318,37.561,0.867,0.184351,29.424,511.919,8.342,37.451,0.987,0.151124,38.424,32.617
39,787,511,3.547,0,492.548,0.0,0.0,18.452,1.0,0.0,1,511.991,-1.215,37.361,0.907,0.184351,29.424,511.776,-0.919,37.16,1.044,0.15501,38.251,32.322
