seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,534,2.242,0,0.000,0.000,0.000,534.000,1.000,0.000,2,534.000,0.000,0.000,0.000,0.000000,0.000,534.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,27,539,2.164,0,504.382,0.000,0.000,34.618,1.000,0.000,2,536.551,5.000,0.000,0.000,0.510204,49.000,536.551,5.000,0.000,0.000,0.510204,49.000,24.000
2,47,543,2.203,0,504.382,0.000,0.000,38.618,1.000,0.000,2,538.844,6.449,0.000,0.000,0.355616,37.245,538.844,6.449,0.000,0.000,0.355616,37.245,24.000
3,65,538,2.172,0,504.382,0.000,0.000,33.618,1.000,0.000,2,538.604,-0.844,0.000,0.000,0.284325,33.535,538.604,-0.844,0.000,0.000,0.284325,33.535,24.000
4,85,542,2.422,0,504.382,0.000,0.000,37.618,1.000,0.000,2,539.439,3.396,0.000,0.000,0.245848,31.824,539.439,3.396,0.000,0.000,0.245848,31.824,24.000
5,105,537,2.414,0,504.382,0.000,0.000,32.618,1.000,0.000,2,538.894,-2.439,0.000,0.000,0.223310,30.900,538.894,-2.439,0.000,0.000,0.223310,30.900,24.000
6,125,555,2.531,0,504.553,0.000,0.000,50.447,1.000,0.000,2,542.268,16.106,0.000,0.000,0.209471,30.359,542.268,16.106,0.000,0.000,0.209471,30.359,24.000
7,145,553,2.578,0,504.553,0.000,0.000,48.447,1.000,0.000,2,544.422,10.732,0.000,0.000,0.200728,30.027,544.422,10.732,0.000,0.000,0.200728,30.027,24.000
8,165,554,2.664,0,504.210,0.000,0.000,49.790,1.000,0.000,2,546.291,9.578,0.000,0.000,0.195103,29.817,546.291,9.578,0.000,0.000,0.195103,29.817,24.000
9,185,542,2.695,0,504.210,0.000,0.000,37.790,1.000,0.000,2,545.469,-4.291,0.000,0.000,0.191442,29.682,545.469,-4.291,0.000,0.000,0.191442,29.682,24.000
10,205,546,2.836,0,504.210,0.000,0.000,41.790,1.000,0.000,2,545.570,0.531,0.000,0.000,0.189041,29.595,545.570,0.531,0.000,0.000,0.189041,29.595,24.000
11,227,538,2.625,0,504.210,0.000,0.000,33.790,1.000,0.000,2,543.767,-7.088,0.000,0.000,0.186414,29.499,543.767,-7.088,0.000,0.000,0.186414,29.499,24.000
12,247,552,2.898,0,504.210,0.027,1.349,47.790,1.000,0.000,2,545.274,8.260,0.000,0.000,0.185721,29.474,545.274,8.260,0.000,0.000,0.185721,29.474,24.000
13,267,546,2.898,0,504.210,0.027,0.000,41.790,1.000,0.000,2,545.408,0.726,0.000,0.000,0.185262,29.457,545.408,0.726,0.000,0.000,0.185262,29.457,24.000
14,285,563,2.852,0,504.210,0.054,1.799,58.790,1.000,0.000,2,548.640,17.619,0.000,0.000,0.184956,29.446,548.640,17.619,0.000,0.000,0.184956,29.446,24.000
15,305,545,2.906,0,504.210,0.054,0.000,40.790,1.000,0.000,2,547.968,-3.640,0.000,0.000,0.184754,29.439,547.968,-3.640,0.000,0.000,0.184754,29.439,24.000
19,385,542,2.695,0,507.640,0.054,0.000,34.360,1.000,0.000,2,548.629,-8.128,49.784,3.055,0.184430,29.427,549.382,-8.128,49.784,3.055,0.091802,59.119,53.692
20,405,547,2.758,0,507.640,0.054,0.000,39.360,1.000,0.000,2,548.329,-1.629,50.582,2.724,0.184404,29.426,549.139,-2.382,50.937,2.686,0.101956,58.153,52.224
21,425,538,2.750,0,498.551,0.054,0.000,39.449,1.000,0.000,2,546.424,-10.329,57.703,1.885,0.184386,29.426,548.008,-11.139,59.013,1.807,0.101555,62.277,55.953
23,467,543,2.570,0,498.551,0.081,1.349,44.449,1.000,0.000,2,546.719,-4.560,58.715,1.967,0.184361,29.425,547.765,-5.375,60.339,1.716,0.113588,63.283,56.094
24,487,546,2.531,0,498.551,0.108,1.349,47.449,1.000,0.000,2,546.565,-0.693,48.368,1.127,0.184358,29.425,547.484,-1.738,49.786,0.824,0.146077,50.464,43.092
25,505,561,2.609,0,498.551,0.162,3.598,62.449,1.000,0.000,2,549.182,14.489,52.647,1.315,0.184356,29.425,549.266,13.570,52.981,0.965,0.135308,53.913,46.618
26,525,548,2.688,0,498.379,0.351,8.095,49.621,1.000,0.000,2,548.832,-1.020,49.225,0.785,0.184354,29.425,548.941,-1.104,49.201,0.431,0.147969,49.387,42.079
27,545,550,2.633,0,498.379,0.594,10.794,51.621,1.000,0.000,2,548.915,1.330,47.873,1.066,0.184353,29.425,548.961,1.221,48.041,0.707,0.148873,48.541,41.315
28,565,544,1.969,0,502.495,0.864,10.794,41.505,1.000,0.000,2,547.833,-4.699,49.452,0.804,0.184353,29.424,548.061,-4.745,49.456,0.443,0.144013,49.653,42.502
29,585,532,1.750,0,502.495,1.241,17.540,29.505,1.000,0.000,2,544.628,-15.482,61.729,0.159,0.184352,29.424,545.896,-15.711,61.618,-0.214,0.115479,61.664,54.543
30,605,532,1.266,0,502.495,1.673,19.789,29.505,1.000,0.000,2,542.058,-12.331,66.834,-0.103,0.184352,29.424,544.148,-13.600,68.108,-0.539,0.106705,68.399,61.101
