seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,445,1.000,0,0.000,0.000,0.000,445.000,1.000,0.000,2,445.000,0.000,0.000,0.000,0.000000,0.000,445.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,25,435,1.055,0,486.202,0.000,0.000,51.202,1.000,0.000,2,439.898,-10.000,0.000,0.000,0.510204,49.000,439.898,-10.000,0.000,0.000,0.510204,49.000,24.000
2,45,428,1.055,0,486.202,0.000,0.000,58.202,1.000,0.000,2,435.667,-11.898,0.000,0.000,0.355616,37.245,435.667,-11.898,0.000,0.000,0.355616,37.245,24.000
3,65,438,0.969,0,486.374,0.000,0.000,48.374,1.000,0.000,2,436.330,2.333,0.000,0.000,0.284325,33.535,436.330,2.333,0.000,0.000,0.284325,33.535,24.000
4,85,426,0.992,0,486.374,0.000,0.000,60.374,1.000,0.000,2,433.791,-10.330,0.000,0.000,0.245848,31.824,433.791,-10.330,0.000,0.000,0.245848,31.824,24.000
5,105,424,1.070,0,486.374,0.000,0.000,62.374,1.000,0.000,2,431.604,-9.791,0.000,0.000,0.223310,30.900,431.604,-9.791,0.000,0.000,0.223310,30.900,24.000
6,127,431,1.102,0,486.374,0.000,0.000,55.374,1.000,0.000,2,433.726,-3.410,0.000,0.000,0.200728,30.027,433.726,-3.410,0.000,0.000,0.200728,30.027,24.000
7,147,446,0.969,0,486.374,0.000,0.000,40.374,1.000,0.000,2,436.120,12.274,0.000,0.000,0.195103,29.817,436.120,12.274,0.000,0.000,0.195103,29.817,24.000
8,167,432,1.055,0,490.490,0.000,0.000,58.490,1.000,0.000,2,435.332,-4.120,0.000,0.000,0.191442,29.682,435.332,-4.120,0.000,0.000,0.191442,29.682,24.000
9,185,423,0.906,0,490.490,0.000,0.000,67.490,1.000,0.000,2,433.000,-12.332,0.000,0.000,0.189041,29.595,433.000,-12.332,0.000,0.000,0.189041,29.595,24.000
10,205,439,0.945,0,490.490,0.000,0.000,51.490,1.000,0.000,2,434.125,6.000,0.000,0.000,0.187460,29.537,434.125,6.000,0.000,0.000,0.187460,29.537,24.000
11,225,433,1.039,0,486.374,0.000,0.000,53.374,1.000,0.000,2,433.915,-1.125,0.000,0.000,0.186414,29.499,433.915,-1.125,0.000,0.000,0.186414,29.499,24.000
12,245,427,1.070,0,486.374,0.000,0.000,59.374,1.000,0.000,2,432.631,-6.915,0.000,0.000,0.185721,29.474,432.631,-6.915,0.000,0.000,0.185721,29.474,24.000
13,265,437,1.078,0,486.374,0.000,0.000,49.374,1.000,0.000,2,433.440,4.369,0.000,0.000,0.185262,29.457,433.440,4.369,0.000,0.000,0.185262,29.457,24.000
14,285,392,1.086,0,486.374,0.000,0.000,94.374,1.000,0.000,2,425.776,-41.440,0.000,0.000,0.184956,29.446,425.776,-41.440,0.000,0.000,0.184956,29.446,24.000
15,305,439,1.047,0,486.374,0.000,0.000,47.374,1.000,0.000,2,428.219,13.224,0.000,0.000,0.184754,29.439,428.219,13.224,0.000,0.000,0.184754,29.439,24.000
16,325,443,0.914,0,490.490,0.000,0.000,47.490,1.000,0.000,2,430.948,14.781,0.000,0.000,0.184619,29.434,430.948,14.781,0.000,0.000,0.184619,29.434,24.000
17,347,429,1.141,0,490.490,0.000,0.000,61.490,1.000,0.000,2,430.446,-1.773,0.000,0.000,0.184470,29.429,430.446,-1.773,0.000,0.000,0.184470,29.429,24.000
