seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,510,3.438,0,0.000,0.000,0.000,510.000,1.000,0.000,2,510.000,0.000,0.000,0.000,0.000000,0.000,510.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,27,522,3.359,0,486.546,0.000,0.000,35.454,1.000,0.000,2,516.122,12.000,0.000,0.000,0.510204,49.000,516.122,12.000,0.000,0.000,0.510204,49.000,24.000
2,47,516,3.422,0,486.546,0.000,0.000,29.454,1.000,0.000,2,516.079,-0.122,0.000,0.000,0.355616,37.245,516.079,-0.122,0.000,0.000,0.355616,37.245,24.000
3,67,517,3.477,0,500.266,0.000,0.000,16.734,1.000,0.000,2,516.341,0.921,0.000,0.000,0.284325,33.535,516.341,0.921,0.000,0.000,0.284325,33.535,24.000
4,85,508,3.453,0,500.266,0.000,0.000,7.734,1.000,0.000,2,514.290,-8.341,0.000,0.000,0.245848,31.824,514.290,-8.341,0.000,0.000,0.245848,31.824,24.000
5,105,528,3.391,0,500.266,0.000,0.000,27.734,1.000,0.000,2,517.352,13.710,0.000,0.000,0.223310,30.900,517.352,13.710,0.000,0.000,0.223310,30.900,24.000
6,125,518,3.438,0,490.318,0.000,0.000,27.682,1.000,0.000,2,517.488,0.648,0.000,0.000,0.209471,30.359,517.488,0.648,0.000,0.000,0.209471,30.359,24.000
7,145,515,3.406,0,490.318,0.000,0.000,24.682,1.000,0.000,2,516.988,-2.488,0.000,0.000,0.200728,30.027,516.988,-2.488,0.000,0.000,0.200728,30.027,24.000
8,165,507,3.508,0,490.318,0.000,0.000,16.682,1.000,0.000,2,515.039,-9.988,0.000,0.000,0.195103,29.817,515.039,-9.988,0.000,0.000,0.195103,29.817,24.000
9,185,517,3.461,0,490.318,0.000,0.000,26.682,1.000,0.000,2,515.415,1.961,0.000,0.000,0.191442,29.682,515.415,1.961,0.000,0.000,0.191442,29.682,24.000
10,205,518,3.469,0,490.318,0.000,0.000,27.682,1.000,0.000,2,515.904,2.585,0.000,0.000,0.189041,29.595,515.904,2.585,0.000,0.000,0.189041,29.595,24.000
11,227,507,3.469,0,490.147,0.000,0.000,16.853,1.000,0.000,2,516.089,-11.171,0.000,0.000,0.186414,29.499,516.089,-11.171,0.000,0.000,0.186414,29.499,24.000
14,285,511,3.422,0,500.437,0.000,0.000,10.563,1.000,0.000,2,516.125,-6.288,0.000,0.000,0.184956,29.446,516.125,-6.288,0.000,0.000,0.184956,29.446,24.000
15,305,520,3.430,0,500.437,0.000,0.000,19.563,1.000,0.000,2,516.841,3.875,0.000,0.000,0.184754,29.439,516.841,3.875,0.000,0.000,0.184754,29.439,24.000
16,325,513,3.352,0,500.608,0.000,0.000,12.392,1.000,0.000,2,516.132,-3.841,0.000,0.000,0.184619,29.434,516.132,-3.841,0.000,0.000,0.184619,29.434,24.000
17,345,515,3.422,0,500.608,0.000,0.000,14.392,1.000,0.000,2,515.923,-1.132,0.000,0.000,0.184529,29.431,515.923,-1.132,0.000,0.000,0.184529,29.431,24.000
18,365,510,3.539,0,490.318,0.000,0.000,19.682,1.000,0.000,2,514.830,-5.923,0.000,0.000,0.184470,29.429,514.830,-5.923,0.000,0.000,0.184470,29.429,24.000
19,385,516,3.414,0,490.318,0.000,0.000,25.682,1.000,0.000,2,515.046,1.170,45.999,0.307,0.184430,29.427,514.968,1.170,45.999,0.307,0.117747,46.093,40.666
20,405,516,3.438,0,490.318,0.000,0.000,25.682,1.000,0.000,2,515.222,0.954,38.878,-0.245,0.184404,29.426,515.121,1.032,38.888,-0.241,0.148622,38.946,33.158
21,425,523,3.375,0,486.374,0.000,0.000,36.626,1.000,0.000,2,516.656,7.778,41.940,0.150,0.184386,29.426,516.232,7.879,42.024,0.159,0.140978,42.049,36.121
22,447,518,3.523,0,486.374,0.000,0.000,31.626,1.000,0.000,2,516.204,2.202,39.610,0.398,0.184367,29.425,516.003,2.369,39.514,0.437,0.156838,39.704,33.477
23,467,516,3.477,0,500.437,0.000,0.000,15.563,1.000,0.000,2,516.166,-0.204,30.284,-0.298,0.184361,29.425,516.002,-0.003,30.244,-0.249,0.206244,30.306,24.056
24,487,518,3.414,0,500.437,0.000,0.000,17.563,1.000,0.000,2,516.504,1.834,30.463,-0.238,0.184358,29.425,516.393,1.998,30.452,-0.182,0.195552,30.485,24.523
25,505,520,3.438,0,500.437,0.000,0.000,19.563,1.000,0.000,2,517.149,3.496,30.817,0.061,0.184356,29.425,517.071,3.607,30.811,0.123,0.188010,30.826,25.030
26,525,508,3.469,0,490.490,0.000,0.000,17.510,1.000,0.000,2,515.462,-9.149,30.007,0.103,0.184354,29.425,515.343,-9.071,29.923,0.169,0.190504,29.952,24.246
27,545,512,3.453,0,490.490,0.000,0.000,21.510,1.000,0.000,2,514.824,-3.462,30.396,-0.168,0.184353,29.425,514.723,-3.343,30.309,-0.096,0.185331,30.318,24.700
28,565,517,3.453,0,496.492,0.000,0.000,20.508,1.000,0.000,2,515.225,2.176,30.292,-0.189,0.184353,29.424,515.143,2.277,30.231,-0.112,0.184423,30.243,24.666
29,585,515,3.344,0,496.492,0.000,0.000,18.508,1.000,0.000,2,515.184,-0.225,22.366,-0.805,0.184352,29.424,515.109,-0.143,22.405,-0.724,0.242014,22.928,17.379
30,605,518,3.406,0,496.492,0.000,0.000,21.508,1.000,0.000,2,515.703,2.816,17.160,-0.105,0.184352,29.424,515.988,2.891,17.106,-0.020,0.304329,17.107,11.901
32,645,508,3.359,0,490.490,0.000,0.000,17.510,1.000,0.000,2,514.478,-7.942,18.609,-0.761,0.184351,29.424,514.401,-8.264,18.853,-0.706,0.225478,19.352,14.988
33,667,517,3.438,0,486.374,0.000,0.000,30.626,1.000,0.000,2,515.773,1.504,18.014,-0.289,0.184351,29.424,516.007,1.305,18.219,-0.241,0.238935,18.277,13.910
34,687,515,3.438,0,486.374,0.000,0.000,28.626,1.000,0.000,2,515.631,-0.773,17.372,-0.136,0.184351,29.424,515.759,-1.007,17.580,-0.099,0.245797,17.590,13.266
35,705,511,3.414,0,486.374,0.000,0.000,24.626,1.000,0.000,2,514.777,-4.631,18.302,-0.311,0.184351,29.424,514.673,-4.759,18.580,-0.280,0.228359,18.659,14.398
36,725,501,3.398,0,496.321,0.000,0.000,4.679,1.000,0.000,2,512.237,-13.777,25.640,-0.703,0.184351,29.424,512.439,-13.673,25.805,-0.668,0.163337,26.251,21.964
37,745,521,3.359,0,496.321,0.000,0.000,24.679,1.000,0.000,2,513.853,8.763,29.801,-0.324,0.184351,29.424,513.755,8.561,29.758,-0.298,0.153698,29.847,25.260
38,765,506,3.523,0,490.490,0.000,0.000,15.510,1.000,0.000,2,512.405,-7.853,32.359,-0.764,0.184351,29.424,512.601,-7.755,32.257,-0.738,0.148848,32.801,27.919
39,785,519,3.484,0,490.490,0.000,0.000,28.510,1.000,0.000,2,513.621,6.595,31.415,-0.823,0.184351,29.424,513.640,6.399,31.086,-0.812,0.162408,31.745,26.589
40,805,520,3.391,0,490.490,0.000,0.000,29.510,1.000,0.000,2,514.797,6.379,32.970,-0.271,0.184351,29.424,514.669,6.360,32.792,-0.282,0.161789,32.872,27.554
41,825,519,3.391,0,486.202,0.000,0.000,32.798,1.000,0.000,2,515.572,4.203,33.655,-0.171,0.184351,29.424,515.374,4.331,33.495,-0.184,0.162780,33.529,28.071
42,845,513,3.500,0,486.202,0.000,0.000,26.798,1.000,0.000,2,515.098,-2.572,33.929,-0.290,0.184351,29.424,514.983,-2.374,33.720,-0.302,0.164723,33.811,28.242
43,867,512,3.430,0,486.374,0.000,0.000,25.626,1.000,0.000,2,514.061,-2.527,33.332,-0.837,0.184351,29.424,514.066,-2.488,32.982,-0.856,0.169479,33.715,28.001
44,887,530,3.422,0,486.374,0.027,1.349,43.626,1.000,0.000,2,516.977,15.966,42.419,0.418,0.184351,29.424,516.205,15.961,42.182,0.395,0.135707,42.338,36.593
45,907,518,3.398,0,486.374,0.054,1.349,31.626,1.000,0.000,2,517.144,1.050,41.635,0.644,0.184351,29.424,516.437,1.822,41.518,0.654,0.142230,41.946,35.980
46,925,517,3.508,0,486.374,0.108,3.598,30.626,1.000,0.000,2,517.073,-0.090,41.532,0.531,0.184351,29.424,516.474,0.617,41.380,0.571,0.146681,41.705,35.588
47,945,516,3.438,0,486.374,0.216,4.048,29.626,1.000,0.000,2,516.809,-0.992,41.618,0.492,0.184351,29.424,516.334,-0.393,41.401,0.558,0.149119,41.712,35.492
48,965,518,3.500,0,490.318,0.351,5.397,27.682,1.000,0.000,2,516.941,1.299,41.375,0.416,0.184351,29.424,516.496,1.774,41.199,0.502,0.151806,41.451,35.159
49,985,515,3.445,0,490.318,0.621,10.794,24.682,1.000,0.000,2,516.451,-1.779,41.553,0.262,0.184351,29.424,516.130,-1.334,41.341,0.385,0.152746,41.489,35.152
50,1005,503,3.539,0,490.318,0.917,14.842,12.682,1.000,0.000,2,513.729,-13.154,47.120,0.002,0.184351,29.424,514.068,-12.833,46.285,0.156,0.137539,46.309,39.940
51,1025,509,3.492,0,484.145,1.349,18.889,24.855,1.000,0.000,2,512.549,-4.351,46.300,-0.492,0.184351,29.424,513.026,-4.690,45.713,-0.358,0.141647,45.841,39.348
52,1045,523,3.492,0,484.145,1.889,21.588,38.855,1.000,0.000,2,514.212,10.775,52.233,-0.028,0.184351,29.424,514.028,10.298,51.050,0.092,0.128745,51.058,44.485
53,1065,515,3.570,0,490.490,2.537,29.683,24.510,1.000,0.000,2,513.873,1.382,52.293,0.079,0.184351,29.424,513.640,1.566,51.082,0.220,0.131570,51.130,44.403
54,1087,514,3.469,0,490.490,3.319,39.578,23.510,1.000,0.000,2,512.531,1.801,41.180,0.980,0.184351,29.424,512.423,1.896,39.728,1.138,0.168424,41.024,34.114
55,1107,513,3.617,0,490.490,4.237,45.875,22.510,1.000,0.000,2,511.869,1.386,38.024,0.611,0.184351,29.424,511.775,1.494,36.855,0.785,0.180023,37.471,30.725
56,1125,513,3.570,0,478.142,5.262,50.372,34.858,1.000,0.000,2,511.461,1.886,34.286,1.098,0.184351,29.424,511.393,1.981,33.043,1.272,0.188438,34.660,28.129
57,1145,505,3.578,0,478.142,6.422,56.668,26.858,1.000,0.000,2,509.346,-5.328,34.485,0.502,0.184351,29.424,509.284,-5.259,33.521,0.689,0.185334,33.996,27.695
58,1165,515,3.594,0,480.200,7.664,60.716,34.800,1.000,0.000,2,509.398,6.868,34.784,0.526,0.184351,29.424,509.307,6.930,33.860,0.717,0.178414,34.374,28.241
59,1185,504,3.688,0,480.200,9.013,66.563,23.800,1.000,0.000,2,507.588,-4.399,35.136,0.096,0.184351,29.424,507.551,-4.308,34.283,0.285,0.175724,34.364,28.326
60,1205,515,3.578,0,480.200,10.443,68.812,34.800,1.000,0.000,2,507.832,8.788,38.234,0.664,0.184351,29.424,507.564,8.825,37.262,0.845,0.157399,37.977,31.999
61,1225,496,3.617,0,476.084,11.954,72.860,19.916,1.000,0.000,2,504.462,-10.375,43.488,0.300,0.184351,29.424,504.676,-10.107,42.400,0.489,0.141576,42.639,36.602
