seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_dmm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,514,3.398,0,0.000,0.000,0.000,514.000,1.000,0.000,2,514.000,0.000,0.000,0.000,0.000000,0.000,514.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,27,518,3.406,0,486.546,0.000,0.000,31.454,1.000,0.000,2,516.041,4.000,0.000,0.000,0.510204,49.000,516.041,4.000,0.000,0.000,0.510204,49.000,24.000
3,67,519,3.391,0,486.374,0.000,0.000,32.626,1.000,0.000,2,515.854,4.396,0.000,0.000,0.284325,33.535,515.854,4.396,0.000,0.000,0.284325,33.535,24.000
4,85,514,3.445,0,486.374,0.000,0.000,27.626,1.000,0.000,2,515.398,-1.854,0.000,0.000,0.245848,31.824,515.398,-1.854,0.000,0.000,0.245848,31.824,24.000
6,125,497,3.453,0,486.202,0.000,0.000,10.798,1.000,0.000,2,512.180,-19.202,0.000,0.000,0.209471,30.359,512.180,-19.202,0.000,0.000,0.209471,30.359,24.000
7,145,518,3.469,0,486.202,0.000,0.000,31.798,1.000,0.000,2,513.348,5.820,0.000,0.000,0.200728,30.027,513.348,5.820,0.000,0.000,0.200728,30.027,24.000
8,165,500,3.367,0,486.031,0.000,0.000,13.969,1.000,0.000,2,510.744,-13.348,0.000,0.000,0.195103,29.817,510.744,-13.348,0.000,0.000,0.195103,29.817,24.000
9,185,519,3.258,0,486.031,0.000,0.000,32.969,1.000,0.000,2,512.325,8.256,0.000,0.000,0.191442,29.682,512.325,8.256,0.000,0.000,0.191442,29.682,24.000
10,205,508,3.375,0,486.031,0.000,0.000,21.969,1.000,0.000,2,511.507,-4.325,0.000,0.000,0.189041,29.595,511.507,-4.325,0.000,0.000,0.189041,29.595,24.000
11,225,515,3.344,0,486.202,0.000,0.000,28.798,1.000,0.000,2,512.162,3.493,0.000,0.000,0.187460,29.537,512.162,3.493,0.000,0.000,0.187460,29.537,24.000
12,247,515,3.461,0,486.202,0.000,0.000,28.798,1.000,0.000,2,513.879,1.377,0.000,0.000,0.185721,29.474,513.879,1.377,0.000,0.000,0.185721,29.474,24.000
13,267,526,3.422,0,486.202,0.000,0.000,39.798,1.000,0.000,2,516.124,12.121,0.000,0.000,0.185262,29.457,516.124,12.121,0.000,0.000,0.185262,29.457,24.000
14,285,514,3.367,0,486.202,0.000,0.000,27.798,1.000,0.000,2,515.731,-2.124,0.000,0.000,0.184956,29.446,515.731,-2.124,0.000,0.000,0.184956,29.446,24.000
15,305,516,3.414,0,486.202,0.000,0.000,29.798,1.000,0.000,2,515.781,0.269,0.000,0.000,0.184754,29.439,515.781,0.269,0.000,0.000,0.184754,29.439,24.000
16,325,520,3.477,0,486.374,0.000,0.000,33.626,1.000,0.000,2,516.560,4.219,0.000,0.000,0.184619,29.434,516.560,4.219,0.000,0.000,0.184619,29.434,24.000
17,345,519,3.398,0,486.374,0.000,0.000,32.626,1.000,0.000,2,517.010,2.440,0.000,0.000,0.184529,29.431,517.010,2.440,0.000,0.000,0.184529,29.431,24.000
18,365,516,3.375,0,486.031,0.000,0.000,29.969,1.000,0.000,2,516.824,-1.010,0.000,0.000,0.184470,29.429,516.824,-1.010,0.000,0.000,0.184470,29.429,24.000
19,385,521,3.438,0,486.031,0.000,0.000,34.969,1.000,0.000,2,517.594,4.176,49.600,0.805,0.184430,29.427,517.275,4.176,49.600,0.805,0.108009,50.248,44.821
20,405,514,3.328,0,486.031,0.000,0.000,27.969,1.000,0.000,2,516.931,-3.594,49.913,0.425,0.184404,29.426,516.892,-3.275,49.790,0.441,0.116857,49.985,44.144
21,425,504,3.469,0,486.202,0.000,0.000,17.798,1.000,0.000,2,514.547,-12.931,57.638,-0.019,0.184386,29.426,515.511,-12.892,57.479,-0.001,0.107144,57.479,51.320
