seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,524,3.555,0,0.000,0.000,0.000,524.000,1.000,0.000,3,524.000,0.000,0.000,0.000,0.000000,0.000,524.000,0.000,0.000,0.000,0.000000,0.000,24.000
2,45,521,3.617,0,488.089,0.000,0.000,32.911,1.000,0.000,3,521.947,-1.469,0.000,0.000,0.355616,37.245,521.947,-1.469,0.000,0.000,0.355616,37.245,24.000
3,65,521,3.523,0,488.089,0.000,0.000,32.911,1.000,0.000,3,521.678,-0.947,0.000,0.000,0.284325,33.535,521.678,-0.947,0.000,0.000,0.284325,33.535,24.000
4,85,531,3.508,0,488.089,0.000,0.000,42.911,1.000,0.000,3,523.969,9.322,0.000,0.000,0.245848,31.824,523.969,9.322,0.000,0.000,0.245848,31.824,24.000
5,107,520,3.508,0,488.089,0.000,0.000,31.911,1.000,0.000,3,522.084,-2.636,0.000,0.000,0.209471,30.359,522.084,-2.636,0.000,0.000,0.209471,30.359,24.000
6,127,518,3.492,0,488.089,0.000,0.000,29.911,1.000,0.000,3,521.264,-4.084,0.000,0.000,0.200728,30.027,521.264,-4.084,0.000,0.000,0.200728,30.027,24.000
7,147,519,3.578,0,488.089,0.000,0.000,30.911,1.000,0.000,3,520.823,-2.264,0.000,0.000,0.195103,29.817,520.823,-2.264,0.000,0.000,0.195103,29.817,24.000
8,165,521,3.539,0,488.089,0.000,0.000,32.911,1.000,0.000,3,520.857,0.177,0.000,0.000,0.191442,29.682,520.857,0.177,0.000,0.000,0.191442,29.682,24.000
9,185,519,3.688,0,488.089,0.000,0.000,30.911,1.000,0.000,3,520.506,-1.857,0.000,0.000,0.189041,29.595,520.506,-1.857,0.000,0.000,0.189041,29.595,24.000
10,205,528,3.680,0,488.089,0.000,0.000,39.911,1.000,0.000,3,521.911,7.494,0.000,0.000,0.187460,29.537,521.911,7.494,0.000,0.000,0.187460,29.537,24.000
11,225,527,3.594,0,488.260,0.000,0.000,38.740,1.000,0.000,3,522.859,5.089,0.000,0.000,0.186414,29.499,522.859,5.089,0.000,0.000,0.186414,29.499,24.000
12,245,522,3.352,0,488.260,0.000,0.000,33.740,1.000,0.000,3,522.700,-0.859,0.000,0.000,0.185721,29.474,522.700,-0.859,0.000,0.000,0.185721,29.474,24.000
13,265,513,3.586,0,488.260,0.000,0.000,24.740,1.000,0.000,3,520.903,-9.700,0.000,0.000,0.185262,29.457,520.903,-9.700,0.000,0.000,0.185262,29.457,24.000
14,285,518,3.625,0,488.260,0.000,0.000,29.740,1.000,0.000,3,520.366,-2.903,0.000,0.000,0.184956,29.446,520.366,-2.903,0.000,0.000,0.184956,29.446,24.000
15,305,532,3.617,0,488.260,0.000,0.000,43.740,1.000,0.000,3,522.515,11.634,0.000,0.000,0.184754,29.439,522.515,11.634,0.000,0.000,0.184754,29.439,24.000
16,327,526,3.648,0,488.089,0.000,0.000,37.911,1.000,0.000,3,523.833,2.657,0.000,0.000,0.184529,29.431,523.833,2.657,0.000,0.000,0.184529,29.431,24.000
17,347,529,3.570,0,488.089,0.000,0.000,40.911,1.000,0.000,3,524.786,5.167,0.000,0.000,0.184470,29.429,524.786,5.167,0.000,0.000,0.184470,29.429,24.000
20,405,522,3.531,0,488.260,0.000,0.000,33.740,1.000,0.000,3,524.347,-2.878,30.185,0.621,0.184386,29.426,524.317,-2.819,30.179,0.625,0.177905,30.570,25.132
21,425,524,3.445,0,492.548,0.000,0.000,31.452,1.000,0.000,3,524.283,-0.347,30.108,0.651,0.184374,29.425,524.260,-0.317,30.099,0.657,0.179199,30.531,25.060
22,445,517,3.602,0,492.548,0.000,0.000,24.452,1.000,0.000,3,522.940,-7.283,28.807,-0.179,0.184367,29.425,522.877,-7.260,28.791,-0.172,0.190509,28.821,23.330
23,465,523,3.508,0,488.089,0.000,0.000,34.911,1.000,0.000,3,522.951,0.060,27.042,0.122,0.184361,29.425,522.902,0.123,27.022,0.132,0.201355,27.040,21.595
24,485,521,3.461,0,488.089,0.000,0.000,32.911,1.000,0.000,3,522.591,-1.951,26.876,0.157,0.184358,29.425,522.523,-1.902,26.845,0.169,0.199020,26.873,21.525
25,505,510,3.547,0,488.089,0.000,0.000,21.911,1.000,0.000,3,520.270,-12.591,33.921,-0.269,0.184356,29.425,520.570,-12.523,33.817,-0.253,0.155954,33.881,28.597
26,527,518,3.469,0,488.089,0.000,0.000,29.911,1.000,0.000,3,520.112,-2.589,34.177,-0.207,0.184353,29.425,520.344,-2.802,34.071,-0.217,0.163433,34.118,28.542
27,547,518,3.508,0,488.089,0.000,0.000,29.911,1.000,0.000,3,519.722,-2.112,34.223,-0.220,0.184353,29.424,519.956,-2.344,34.162,-0.242,0.165536,34.220,28.556
28,567,521,3.461,0,492.376,0.000,0.000,28.624,1.000,0.000,3,519.958,1.278,31.262,-0.531,0.184352,29.424,520.146,1.044,31.148,-0.564,0.182002,31.467,25.740
29,585,522,3.523,0,492.376,0.000,0.000,29.624,1.000,0.000,3,520.334,2.042,29.991,-0.683,0.184352,29.424,520.493,1.854,29.816,-0.726,0.187345,30.343,24.659
30,605,531,3.648,0,492.376,0.000,0.000,38.624,1.000,0.000,3,522.301,10.666,36.097,-0.107,0.184352,29.424,522.141,10.507,35.801,-0.158,0.156860,35.826,30.206
31,625,526,3.703,0,492.376,0.000,0.000,33.624,1.000,0.000,3,522.983,3.699,31.772,0.563,0.184351,29.424,522.836,3.859,31.595,0.520,0.180070,31.866,26.128
32,645,527,3.680,0,492.376,0.000,0.000,34.624,1.000,0.000,3,523.723,4.017,31.648,0.909,0.184351,29.424,523.571,4.164,31.549,0.874,0.176557,32.312,26.607
33,665,518,3.453,0,492.719,0.000,0.000,25.281,1.000,0.000,3,522.668,-5.723,27.343,0.041,0.184351,29.424,522.400,-5.571,27.096,0.013,0.210276,27.096,21.398
34,685,525,3.641,0,492.719,0.000,0.000,32.281,1.000,0.000,3,523.098,2.332,26.606,-0.067,0.184351,29.424,522.941,2.600,26.422,-0.081,0.208093,26.428,20.929
35,705,523,3.500,0,492.719,0.000,0.000,30.281,1.000,0.000,3,523.080,-0.098,26.216,-0.204,0.184351,29.424,522.953,0.059,26.031,-0.211,0.205369,26.076,20.721
37,747,528,3.578,0,492.376,0.000,0.000,35.624,1.000,0.000,3,522.600,6.620,25.236,-0.618,0.184351,29.424,522.514,6.867,25.087,-0.597,0.201103,25.444,20.327
38,767,522,3.672,0,496.321,0.000,0.000,25.679,1.000,0.000,3,522.489,-0.600,24.967,-0.504,0.184351,29.424,522.409,-0.514,24.828,-0.482,0.203028,25.059,19.972
39,787,530,3.633,0,496.321,0.000,0.000,33.679,1.000,0.000,3,523.874,7.511,28.023,-0.111,0.184351,29.424,523.783,7.591,27.928,-0.086,0.180947,27.935,22.881
40,805,524,3.609,0,496.321,0.027,1.799,27.679,1.000,0.000,3,523.875,0.153,25.316,0.261,0.184351,29.424,523.805,0.244,25.219,0.289,0.203148,25.303,20.162
41,825,523,3.562,0,500.266,0.081,1.349,22.734,1.000,0.000,3,523.692,-0.848,25.374,0.216,0.184351,29.424,523.622,-0.779,25.273,0.244,0.201166,25.332,20.236
42,845,528,3.680,0,500.266,0.108,1.799,27.734,1.000,0.000,3,524.464,4.335,25.889,0.530,0.184351,29.424,524.450,4.405,25.809,0.559,0.194125,26.121,21.051
43,865,524,3.641,0,490.318,0.189,2.699,33.682,1.000,0.000,3,524.335,-0.410,16.954,1.139,0.184351,29.424,524.286,-0.396,16.929,1.166,0.278139,18.287,13.201
44,885,531,3.625,0,490.318,0.324,5.397,40.682,1.000,0.000,3,525.475,6.773,18.460,1.391,0.184351,29.424,525.732,6.822,18.452,1.435,0.227753,20.512,15.840
45,905,522,3.586,0,490.318,0.513,8.995,31.682,1.000,0.000,3,524.725,-3.340,18.786,1.354,0.184351,29.424,524.799,-3.597,18.819,1.396,0.221882,20.767,16.159
46,925,516,3.664,0,486.202,0.756,9.445,29.798,1.000,0.000,3,522.962,-8.536,22.972,1.032,0.184351,29.424,522.978,-8.610,23.027,1.082,0.189491,24.198,19.613
47,947,513,3.531,0,486.202,1.052,14.392,26.798,1.000,0.000,3,520.174,-8.796,28.239,0.242,0.184351,29.424,520.303,-8.788,28.423,0.313,0.169019,28.521,23.701
48,967,514,3.664,0,498.551,1.457,20.239,15.449,1.000,0.000,3,518.706,-5.769,23.938,-0.580,0.184351,29.424,518.705,-5.898,24.483,-0.508,0.202330,24.741,19.735
