seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R
0,7,510,3.508,0,0.000,0.000,0.000,510.000,0.000,0.000,1,510.000,0.000,0.000,0.000,0.000000,0.000,510.000,0.000,0.000,0.000,0.000000,0.000,24.000
1,27,505,3.703,0,488.603,0.000,0.000,16.397,-5.000,0.000,1,507.449,-5.000,0.000,0.000,0.510204,49.000,507.449,-5.000,0.000,0.000,0.510204,49.000,24.000
2,45,513,3.641,0,488.603,0.000,0.000,24.397,8.000,0.000,1,509.423,5.551,0.000,0.000,0.355616,37.245,509.423,5.551,0.000,0.000,0.355616,37.245,24.000
3,65,515,3.625,0,488.603,0.000,0.000,26.397,2.000,0.000,1,511.009,5.577,0.000,0.000,0.284325,33.535,511.009,5.577,0.000,0.000,0.284325,33.535,24.000
4,85,510,3.633,0,488.603,0.000,0.000,21.397,-5.000,0.000,1,510.761,-1.009,0.000,0.000,0.245848,31.824,510.761,-1.009,0.000,0.000,0.245848,31.824,24.000
7,145,503,3.547,0,488.603,0.000,0.000,14.397,-6.000,0.000,1,508.236,-6.551,0.000,0.000,0.200728,30.027,508.236,-6.551,0.000,0.000,0.200728,30.027,24.000
8,165,506,3.555,0,488.603,0.000,0.000,17.397,3.000,0.000,1,507.800,-2.236,0.000,0.000,0.195103,29.817,507.800,-2.236,0.000,0.000,0.195103,29.817,24.000
9,185,507,3.633,0,488.603,0.000,0.000,18.397,1.000,0.000,1,507.647,-0.800,0.000,0.000,0.191442,29.682,507.647,-0.800,0.000,0.000,0.191442,29.682,24.000
10,207,509,3.648,0,488.603,0.000,0.000,20.397,-1.000,0.000,1,508.262,0.908,0.000,0.000,0.187460,29.537,508.262,0.908,0.000,0.000,0.187460,29.537,24.000
11,227,510,3.711,0,488.603,0.000,0.000,21.397,1.000,0.000,1,508.586,1.738,0.000,0.000,0.186414,29.499,508.586,1.738,0.000,0.000,0.186414,29.499,24.000
12,245,512,3.680,0,488.603,0.000,0.000,23.397,2.000,0.000,1,509.220,3.414,0.000,0.000,0.185721,29.474,509.220,3.414,0.000,0.000,0.185721,29.474,24.000
13,265,512,3.547,0,492.548,0.000,0.000,19.452,0.000,0.000,1,509.735,2.780,0.000,0.000,0.185262,29.457,509.735,2.780,0.000,0.000,0.185262,29.457,24.000
14,285,515,3.602,0,492.548,0.000,0.000,22.452,3.000,0.000,1,510.709,5.265,0.000,0.000,0.184956,29.446,510.709,5.265,0.000,0.000,0.184956,29.446,24.000
15,305,513,3.508,0,492.548,0.000,0.000,20.452,-2.000,0.000,1,511.132,2.291,0.000,0.000,0.184754,29.439,511.132,2.291,0.000,0.000,0.184754,29.439,24.000
16,325,519,3.578,0,488.603,0.000,0.000,30.397,6.000,0.000,1,512.585,7.868,0.000,0.000,0.184619,29.434,512.585,7.868,0.000,0.000,0.184619,29.434,24.000
17,345,509,3.664,0,488.603,0.000,0.000,20.397,-10.000,0.000,1,511.923,-3.585,0.000,0.000,0.184529,29.431,511.923,-3.585,0.000,0.000,0.184529,29.431,24.000
18,365,510,3.531,0,488.432,0.000,0.000,21.568,1.000,0.000,1,511.568,-1.923,0.000,0.000,0.184470,29.429,511.568,-1.923,0.000,0.000,0.184470,29.429,24.000
19,385,511,3.633,0,488.432,0.000,0.000,22.568,1.000,0.000,1,511.464,-0.568,14.726,0.531,0.184430,29.427,511.363,-0.568,14.726,0.531,0.361625,15.008,9.581
20,407,504,3.609,0,488.432,0.000,0.000,15.568,-12.000,0.000,1,510.770,-8.300,16.592,0.315,0.184386,29.426,510.651,-8.759,17.040,0.297,0.240588,17.128,13.007
21,427,505,3.500,0,488.603,0.000,0.000,16.397,1.000,0.000,1,509.706,-5.770,16.737,-0.252,0.184374,29.425,509.292,-5.651,17.100,-0.264,0.240503,17.170,13.040
22,447,518,3.594,0,488.603,0.000,0.000,29.397,13.000,0.000,1,511.235,8.294,20.144,0.213,0.184367,29.425,511.015,8.708,20.861,0.221,0.197810,20.910,16.774
23,465,506,3.523,0,492.891,0.000,0.000,13.109,-12.000,0.000,1,510.270,-5.235,20.390,0.189,0.184361,29.425,509.985,-5.015,20.991,0.209,0.205286,21.034,16.716
24,485,512,3.539,0,492.891,0.000,0.000,19.109,6.000,0.000,1,510.589,1.730,20.455,0.310,0.184358,29.425,510.406,2.015,21.094,0.344,0.208911,21.213,16.781
25,505,518,3.719,0,492.891,0.000,0.000,25.109,6.000,0.000,1,511.955,7.411,20.134,1.009,0.184356,29.425,511.965,7.594,20.844,1.052,0.205274,21.950,17.444
26,525,514,3.555,0,492.719,0.000,0.000,21.281,-4.000,0.000,1,512.332,2.045,19.616,1.223,0.184354,29.425,512.391,2.035,20.306,1.265,0.209104,21.907,17.326
27,545,505,3.523,0,492.719,0.000,0.000,12.281,-9.000,0.000,1,510.980,-7.332,22.964,0.896,0.184353,29.425,511.002,-7.391,23.731,0.936,0.187880,24.606,19.983
28,565,507,3.531,0,488.432,0.000,0.000,18.568,2.000,0.000,1,510.247,-3.980,23.946,0.579,0.184353,29.424,510.245,-4.002,24.748,0.618,0.189193,25.130,20.376
29,585,516,3.609,0,488.432,0.000,0.000,27.568,9.000,0.000,1,511.307,5.753,25.221,0.822,0.184352,29.424,511.290,5.755,26.005,0.860,0.181527,26.745,21.890
30,607,506,3.609,0,488.432,0.000,0.000,17.568,-1.000,0.000,1,509.681,-4.513,27.093,0.123,0.184352,29.424,509.695,-4.514,27.924,0.163,0.181558,27.950,22.876
31,627,512,3.617,0,492.891,0.000,0.000,19.109,6.000,0.000,1,510.109,2.319,26.980,0.100,0.184351,29.424,510.121,2.305,27.810,0.139,0.185172,27.829,22.676
32,647,508,3.594,0,492.891,0.000,0.000,15.109,-4.000,0.000,1,509.720,-2.109,25.754,-0.269,0.184351,29.424,509.708,-2.121,26.615,-0.231,0.194949,26.668,21.469
33,665,511,3.586,0,492.548,0.000,0.000,18.452,3.000,0.000,1,509.956,1.280,25.544,-0.319,0.184351,29.424,509.961,1.292,26.411,-0.280,0.195755,26.489,21.304
34,685,504,3.594,0,492.548,0.000,0.000,11.452,-7.000,0.000,1,508.858,-5.956,23.303,-1.011,0.184351,29.424,508.736,-5.961,24.226,-0.972,0.205411,25.171,20.000
35,705,513,3.688,0,492.548,0.000,0.000,20.452,9.000,0.000,1,509.622,4.142,24.150,-0.624,0.184351,29.424,509.593,4.264,25.101,-0.579,0.200820,25.437,20.329
36,725,499,3.578,0,492.719,0.000,0.000,6.281,-14.000,0.000,1,507.663,-10.622,28.874,-1.059,0.184351,29.424,507.848,-10.593,29.836,-1.013,0.164681,30.863,25.780
37,745,515,3.609,0,492.719,0.000,0.000,22.281,16.000,0.000,1,509.016,7.337,32.230,-0.664,0.184351,29.424,508.971,7.152,33.011,-0.627,0.157033,33.404,28.158
38,765,506,3.562,0,492.548,0.000,0.000,13.452,-9.000,0.000,1,508.460,-3.016,31.012,-1.041,0.184351,29.424,508.480,-2.971,31.755,-1.007,0.165449,32.770,27.348
39,785,510,3.562,0,492.548,0.000,0.000,17.452,4.000,0.000,1,508.744,1.540,28.469,-0.549,0.184351,29.424,508.769,1.520,28.806,-0.493,0.190181,29.050,23.525
40,805,509,3.672,0,492.548,0.000,0.000,16.452,-1.000,0.000,1,508.791,0.256,27.048,-0.248,0.184351,29.424,508.815,0.231,27.416,-0.199,0.199377,27.456,21.982
41,827,505,3.648,0,492.719,0.000,0.000,12.281,-3.000,0.000,1,507.973,-3.645,22.607,-0.623,0.184351,29.424,507.819,-3.630,22.732,-0.606,0.223387,23.099,17.939
43,867,513,3.609,0,492.719,0.000,0.000,20.281,2.000,0.000,1,509.355,4.469,21.059,-0.705,0.184351,29.424,509.531,4.500,21.038,-0.703,0.229243,21.531,16.596
44,885,513,3.633,0,492.719,0.000,0.000,20.281,0.000,0.000,1,510.027,3.645,21.620,-0.625,0.184351,29.424,510.291,3.469,21.528,-0.631,0.219119,21.926,17.122
45,905,506,3.617,0,492.719,0.000,0.000,13.281,-7.000,0.000,1,509.285,-4.027,19.923,-0.460,0.184351,29.424,509.278,-4.291,19.889,-0.476,0.236216,20.116,15.364
46,925,522,3.672,0,492.719,0.000,0.000,29.281,16.000,0.000,1,511.629,12.715,27.285,0.375,0.184351,29.424,511.427,12.722,27.278,0.360,0.168902,27.408,22.779
47,945,507,3.523,0,492.719,0.000,0.000,14.281,-15.000,0.000,1,510.775,-4.629,26.821,-0.144,0.184351,29.424,510.624,-4.427,26.709,-0.149,0.181335,26.731,21.884
